Datum,Turnier,Bedenkzeit,Turnierlink
26.06.,244. Lichess-Liga 5B,3+2,https://lichess.org/tournament/WdXA1odL
23.06.,243. Lichess-Liga 6A,3+0,https://lichess.org/tournament/yziV9FMP
19.06.,242. Lichess-Liga 7A,5+0,https://lichess.org/tournament/wy14MmQ7
16.06.,241. Lichess-Liga 8A,3+2,https://lichess.org/tournament/9TYvxbmC
12.06.,240. Lichess-Liga 7C,3+0,https://lichess.org/tournament/JkdQFyX7
09.06.,239. Lichess-Liga 6B,5+0,https://lichess.org/tournament/rsgyTn6e
05.06.,238. Lichess-Liga 5A,3+2,https://lichess.org/tournament/vpEYJLLb
02.06.,237. Lichess-Liga 5C,3+0,https://lichess.org/tournament/nQk41ArT
29.05.,236. Lichess-Liga 4A,5+0,https://lichess.org/tournament/uudGpSK9
26.05.,235. Lichess-Liga 5A,3+2,https://lichess.org/tournament/kwWmGMAS
22.05.,234. Lichess-Liga 6A,3+0,https://lichess.org/tournament/RM5Mp1Hd
19.05.,233. Lichess-Liga 5B,5+0,https://lichess.org/tournament/vc0psYW5
15.05.,232. Lichess-Liga 6B,3+2,https://lichess.org/tournament/87JqH95G
12.05.,231. Lichess-Liga 7B,3+0,https://lichess.org/tournament/1chNjqnf
08.05.,230. Lichess-Liga 6C,5+0,https://lichess.org/tournament/jVLATPlY
05.05.,229. Lichess-Liga 5A,3+2,https://lichess.org/tournament/zEcO4iLb
01.05.,228. Lichess-Liga 5A,3+0,https://lichess.org/tournament/4gle2mih
28.04.,227. Lichess-Liga 5B,5+0,https://lichess.org/tournament/XXRVg4X0
24.04.,226. Lichess-Liga 6B,3+2,https://lichess.org/tournament/eNSoRQO1
21.04.,225. Lichess-Liga 5C,3+0,https://lichess.org/tournament/DEsmbmhN
17.04.,224. Lichess-Liga 4A,5+0,https://lichess.org/tournament/dyaxSg3l
14.04.,223. Lichess-Liga 3B,3+2,https://lichess.org/tournament/P7zVOA3T
10.04.,222. Lichess-Liga 4A,3+0,https://lichess.org/tournament/qglbc5J1
24.04.,226. Lichess-Liga 6B,3+2,https://lichess.org/tournament/eNSoRQO1
21.04.,225. Lichess-Liga 5C,3+0,https://lichess.org/tournament/DEsmbmhN
17.04.,224. Lichess-Liga 4A,5+0,https://lichess.org/tournament/dyaxSg3l
14.04.,223. Lichess-Liga 3B,3+2,https://lichess.org/tournament/P7zVOA3T
10.04.,222. Lichess-Liga 4A,3+0,https://lichess.org/tournament/qglbc5J1
07.04.,221. Lichess-Liga 5B,5+0,https://lichess.org/tournament/n7cAA5Za
03.04.,220. Lichess-Liga 5C,3+2,https://lichess.org/tournament/voA6lKlp
31.03.,219. Lichess-Liga 4C,3+0,https://lichess.org/tournament/mLh8nedk
27.03.,218. Lichess-Liga 5C,5+0,https://lichess.org/tournament/LGQuzUJh
24.03.,217. Lichess-Liga 4C,3+2,https://lichess.org/tournament/KHMJHwFt
20.03.,216. Lichess-Liga 3C,3+0,https://lichess.org/tournament/0T46VDZB
17.03.,215. Lichess-Liga 3A,5+0,https://lichess.org/tournament/zOhNON6o
13.03.,214. Lichess-Liga 4A,3+2,https://lichess.org/tournament/aKmOcnAQ
10.03.,213. Lichess-Liga 5B,3+0,https://lichess.org/tournament/vru0US2B
06.03.,212. Lichess-Liga 5C,5+0,https://lichess.org/tournament/16Gvf38d
03.03.,211. Lichess-Liga 4C,3+2,https://lichess.org/tournament/azg14ax5
27.02.,210. Lichess-Liga 5C,3+0,https://lichess.org/tournament/llNYj2LR
24.02.,209. Lichess-Liga 4B,5+0,https://lichess.org/tournament/VCBAwV77
20.02.,208. Lichess-Liga 5C,3+2,https://lichess.org/tournament/kD728aqj
17.02.,207. Lichess-Liga 6B,3+0,https://lichess.org/tournament/dYWaoL5L
13.02.,206. Lichess-Liga 5A,5+0,https://lichess.org/tournament/LEHcOsDi
10.02.,205. Lichess-Liga 4C,3+2,https://lichess.org/tournament/SRUHqwSa
06.02.,204. Lichess-Liga 4C,3+0,https://lichess.org/tournament/bkdO1UUN
03.02.,203. Lichess-Liga 5B,5+0,https://lichess.org/tournament/RF9akiJd
30.01.,202. Lichess-Liga 6B,3+2,https://lichess.org/tournament/Kwq5I4pz
27.01.,201. Lichess-Liga 6B,3+0,https://lichess.org/tournament/9mmKeOTG
23.01.,200. Lichess-Liga 5C,5+0,https://lichess.org/tournament/UyPQVFIz
20.01.,199. Lichess-Liga 6A,3+2,https://lichess.org/tournament/SaofZMXT
16.01.,198. Lichess-Liga 6C,3+0,https://lichess.org/tournament/TM04Ad7x
13.01.,197. Lichess-Liga 6A,5+0,https://lichess.org/tournament/qdXYwTcD
09.01.,196. Lichess-Liga 6A,3+2,https://lichess.org/tournament/T8aQ5raT
06.01.,195. Lichess-Liga 5C,3+0,https://lichess.org/tournament/74yC8IpH
02.01.,194. Lichess-Liga 5B,5+0,https://lichess.org/tournament/kRhkh1al
30.12.,193. Lichess-Liga 5B,3+2,https://lichess.org/tournament/wm8F1QPZ
26.12.,192. Lichess-Liga 5C,3+0,https://lichess.org/tournament/V7Wfi9s3
23.12.,191. Lichess-Liga 4B,5+0,https://lichess.org/tournament/xbCAGNkF
19.12.,190. Lichess-Liga 5C,3+2,https://lichess.org/tournament/kCiu0pfU
16.12.,189. Lichess-Liga 5B,3+0,https://lichess.org/tournament/fk3P9vmn
12.12.,188. Lichess-Liga 5C,5+0,https://lichess.org/tournament/GZffc9MW
09.12.,187. Lichess-Liga 4C,3+2,https://lichess.org/tournament/XLEZzbzB
05.12.,186. Lichess-Liga 5A,3+0,https://lichess.org/tournament/9TxWNsDL
02.12.,185. Lichess-Liga 6B,5+0,https://lichess.org/tournament/HRacXkjt
28.11.,184. Lichess-Liga 6B,3+2,https://lichess.org/tournament/EcQDh904
25.11.,183. Lichess-Liga 5A,3+0,https://lichess.org/tournament/2nu9BeHN
21.11.,182. Lichess-Liga 5C,5+0,https://lichess.org/tournament/4F2a7y34
18.11.,181. Lichess-Liga 6A,3+2,https://lichess.org/tournament/veeNtczK
14.11.,180. Lichess-Liga 5A,3+0,https://lichess.org/tournament/SlOuCf9I
11.11.,179. Lichess-Liga 5B,5+0,https://lichess.org/tournament/yoGi63Eg
07.11.,178. Lichess-Liga 5B,3+2,https://lichess.org/tournament/GV8JV49y
04.11.,177. Lichess-Liga 5A,3+0,https://lichess.org/tournament/EGZWd0io
31.10.,176. Lichess-Liga 5A,5+0,https://lichess.org/tournament/g8lQQgUO
28.10.,175. Lichess-Liga 6A,3+2,https://lichess.org/tournament/uGyP7uPO
24.10.,174. Lichess-Liga 6C,3+0,https://lichess.org/tournament/ATP1hMI2
21.10.,173. Lichess-Liga 6A,5+0,https://lichess.org/tournament/vNe8VFSN
17.10.,172. Lichess-Liga 5A,3+2,https://lichess.org/tournament/YnZzZsn8
14.10.,171. Lichess-Liga 5A,3+0,https://lichess.org/tournament/i9kjyARR
